,Company_Brand,Sector,Stage,Amount($),City,HeadQuarter,What_it_does,Year,Founded,Founders,Investor
690,5C Network,Energy,Pre-series A,1200000.0,Bangalore,Bangalore,"5C is India's first Diagnostics Network, making Radiodiagnosis more Accessible, Affordable and Accurate",2020,2014.0,Kalyan Sivasailam,"Axilor Ventures, Unitus Ventures"
691,Ethereum Push Notification Service,Energy,Seed,750000.0,Mumbai,Mumbai,EPNS is a decentralized notification protocol,2020,2020.0,"Harsh Rajat, Richa Joshi",Prolific angel investors
692,Mihup,Energy,Series A,1500000.0,Kolkata,Kolkata,Intelligence-based personal mobile assistant app,2020,2016.0,"Biplab Chakraborty, Sandipan Chattopadhyay, Sandipan Mandal, Tapan Barman","Ideaspring Capital, Accel"
693,RuralBasket,Education,Unknown,500000.0,Tirunelveli,"Tirunelveli, Tamilnadu",Naturally grown and healthy products directly from farmers. Palani Rajan,2020,2019.0,Nativelead Foundation,Undisclosed
694,WayCool Foods,Energy,Debt,7800000.0,Chennai,Chennai,"WayCool has adopted a tech-enabled supply chain approach to produce staples like rice, dairy, and value added products.",2020,2015.0,"Karthik Jayaraman, Sanjay Dasari","FMO, IndusInd Bank"
695,Infra.Market,Energy,Series B,20000000.0,Thane,Thane,Hella Infra Market develops an online procurement marketplace intended to serve the real estate and construction materials industry.,2020,2016.0,"Aaditya Sharda, Souvik Sengupta","Trifecta Capital Advisors, Nexus Venture Partners"
696,Info Edge Venture,Energy,Unknown,50000000.0,Noida,Noida,"Info Edge provides online recruitment, matrimonial and real estate classifieds, and related services. Sanjeev Bikhchandani",2020,1995.0,Lightbox,Undisclosed
697,Clovia,Education,Pre-series C,4000000.0,Noida,Noida,Clovia is the online lingerie retailer,2020,2013.0,"Neha Kant, Pankaj Vermani","Golden Birch Investments, She Capital"
698,Codingal,Education,Seed,560000.0,Bangalore,Bangalore,Coding education platform for K-12 students,2020,2020.0,"Satyam Baranwal, Vivek Prakash","Pras Hanuma, Rebright Partners, Java Capital, and GSF Accelerator."
699,CRED,Finance,Series C,80000000.0,Bangalore,Bangalore,CRED is a members-only app that rewards the user with exclusive rewards for paying credit card bills.,2020,2018.0,Kunal Shah,"General Catalyst, Ribbit Capital"
700,Vistaar Finance,Finance,Unknown,30000000.0,Bangalore,Bangalore,"The preferred full range Financial Services provider to the Small Business segment focused on rural and semi urban markets. Brahmanad, Ramakrishna Nishtala",2020,2010.0,FMO,Undisclosed
701,Let's Dive,Energy,Unknown,1700000.0,Bangalore,Bangalore,"A platform for remote employee engagement and building team culture Nitesh Agrawal, Om Prakash",2020,2020.0,Surge,Undisclosed
702,Habitat,Education,Seed,600000.0,Mumbai,"Mumbai, Maharashtra, India","Habitat, a social learning edtech platform for civil service aspirants",2020,2016.0,"Rohit Pande, Shikhar Sachan","Unitus Ventures, Whiteboard Capital"
703,SAWO Labs,Energy,Seed,600000.0,Mumbai,Mumbai,Providing Secure Authentication solutions to Apps and Websites. Eliminating Passwords and OTPs for a seamless User Experience.,2020,2020.0,Prabhat Sahu,"StartupXseed Ventures, 100X.VC"
704,Signzy,Energy,Unknown,3000000.0,Bangalore,Bangalore,"Signzy are creating 'building blocks for a Digital Trust system. Ankit Ratan, Ankur Pandey, Arpit Ratan",2020,2015.0,"Stellaris Venture Partners, Mastercard",Undisclosed
705,KopyKitab,Education,Unknown,3000000.0,Bangalore,Bangalore,"Kopykitab is an India-based digital library that provides eBooks, and digital content in school and higher education. Amit Shrivastava, Sumeet Verma",2020,2013.0,"Paula Mariwala, Siddharth Anand",Undisclosed
